location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
US Diplomatic Post: New Delhi,pm25,47.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,68.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,61.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,43.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,64.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,61.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,91.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,64.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,66.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,77.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,53.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,117.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,68.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,43.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,86.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,82.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,62.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,57.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,68.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,68.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,53.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,78.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,105.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,124.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,147.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,105.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,99.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-28 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,93.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,85.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-02-27 22:30:00+00:00,28.63576,77.22445
